Gene	fit_value	Predicted_Proximal_APA	Loci	209_1_CP	209_1_VZ	209_2_CP	209_2_VZ	209_3_CP	209_3_VZ	209_4_CP	209_4_VZ	334_1_CP	334_1_VZ	334_2_CP	334_2_VZ	334_3_CP	334_3_VZ	334_4_CP	334_4_VZ	336_1_CP	336_1_VZ	336_2_CP	336_2_VZ	336_3_CP	336_3_VZ	336_4_CP	336_4_VZ
NR_037709.1|TEN1-CDK3|chr17|+	0.3	74001530	chr17:74001379-74002080	1	1	1	1	1	1	1	1	1	0.99	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001113324.3|TEN1|chr17|+	1.5	73996560	chr17:73996222-73996667	1	0.95	0.95	0.97	0.88	0.92	0.93	0.93	0.99	0.96	0.92	0.9	0.95	0.9	0.98	0.89	0.88	0.91	0.9	0.83	0.91	0.9	0.9	0.89
NM_001258.3|CDK3|chr17|+	0.3	74001530	chr17:74001379-74002079	1	1	1	1	1	1	1	1	1	0.99	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001282313.2|EXOC7|chr17|-	12.3	74079657	chr17:74078887-74079831	0.96	0.92	0.93	0.92	0.97	0.89	0.96	0.91	0.94	0.95	0.91	0.9	0.9	0.89	0.93	0.93	0.96	0.95	0.89	0.83	0.93	0.9	0.95	0.91
NM_001282314.2|EXOC7|chr17|-	25617.5	74097306	chr17:74097092-74097457	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_038111.1|SNHG16|chr17|+	83.2	74560762	chr17:74559201-74561430	0.86	0.81	0.84	0.81	0.87	0.87	0.86	0.7	1	1	0.73	0.89	0.96	0.81	0.82	0.74	0.88	0.88	0.7	0.9	0.82	0.76	0.88	0.9
NM_015167.3|JMJD6|chr17|-	148.4	74714791	chr17:74714533-74714942	0.19	0.26	0.17	0.66	0.16	0.36	0.3	0.46	0.2	0.59	0.28	0.73	0.32	0.71	0.24	0.75	0.27	0.28	0.42	0.55	0.39	0.61	0.29	0.51
NM_001195427.2|SRSF2|chr17|-	629.1	74731089	chr17:74730197-74731240	0.95	0.96	0.96	0.96	0.95	0.95	0.95	0.95	0.94	0.97	0.94	0.95	0.95	0.96	0.95	0.96	0.93	0.95	0.94	0.97	0.93	0.95	0.95	0.96
NM_003016.4|SRSF2|chr17|-	5457.9	74732235	chr17:74730197-74732546	0.7	0.8	0.71	0.8	0.67	0.73	0.71	0.73	0.64	0.75	0.64	0.68	0.63	0.69	0.67	0.69	0.66	0.67	0.62	0.65	0.63	0.68	0.64	0.66
NM_001353017.2|MFSD11|chr17|+	8.9	74774806	chr17:74774270-74775423	0.51	0.39	0.44	0.56	0.63	0.52	0.58	0.37	0.47	0.37	0.37	0.4	0.4	0.32	0.38	0.47	0.44	0.35	0.39	0.35	0.3	0.48	0.47	0.49
NM_144677.3|MGAT5B|chr17|+	3	74944873	chr17:74944722-74946475	1	1	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	1	1	1	NA	NA	1	NA	1	NA
NM_198955.1|MGAT5B|chr17|+	3	74944873	chr17:74944722-74946471	1	1	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	1	1	1	NA	NA	1	NA	1	NA
NR_027058.1|SNHG20|chr17|+	1.7	75089477	chr17:75089326-75091068	0.99	1	0.91	NA	0.9	0.93	0.96	1	0.83	0.89	0.9	0.93	0.96	0.96	0.9	0.89	0.86	0.95	0.84	0.94	1	0.91	0.9	0.87
NM_001113494.1|SEPTIN9|chr17|+	23.4	75494756	chr17:75494605-75496678	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001012270.2|BIRC5|chr17|+	8.6	76220777	chr17:76219546-76221716	NA	0.56	NA	0.5	NA	0.6	NA	0.54	NA	0.4	0.4	0.33	0.41	0.33	0.39	0.37	0.57	0.48	NA	0.38	0.18	0.39	0.32	0.46
NM_003255.5|TIMP2|chr17|-	375.6	76851795	chr17:76849059-76851946	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1
NM_005567.4|LGALS3BP|chr17|-	0.5	76968635	chr17:76967337-76968786	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1
NM_001159772.2|CANT1|chr17|-	5.1	76988491	chr17:76987798-76990002	1	1	1	0.98	1	1	0.98	0.99	1	1	0.99	1	1	1	0.99	1	0.97	0.97	0.96	0.98	0.94	0.95	0.98	0.95
NM_001042573.3|ENGASE|chr17|+	1.2	77082166	chr17:77082015-77084681	NA	NA	NA	NA	1	NA	1	NA	NA	1	NA	0.95	NA	NA	NA	1	1	1	NA	NA	NA	NA	0.93	NA
NM_032647.4|CBX2|chr17|+	525.1	77755646	chr17:77755495-77756331	0.17	0.05	0.11	0.03	0.05	0.1	0.06	0.07	0.05	0.01	0.03	0.02	0	0.01	0.04	0.04	0	0.07	0	0.06	0	0.03	0	0.09
NM_005189.3|CBX2|chr17|+	32.2	77757682	chr17:77757531-77761782	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99	1	1	1	1	1
NM_001079804.3|GAA|chr17|+	0.4	78093230	chr17:78093071-78093680	0.99	1	1	1	1	0.99	1	1	0.99	1	1	1	1	1	1	1	1	0.99	1	1	1	1	0.99	1
NR_134848.2|GAA|chr17|+	28.7	78075761	chr17:78075610-78076532	0	NA	0	NA	0	NA	0	NA	0.05	0	0.2	0	0.18	0.19	0.16	0.15	0.16	0.1	0.27	NA	NA	0.09	0.09	0.21
NM_001352922.2|SGSH|chr17|-	0.4	78184659	chr17:78183130-78184810	1	1	1	1	1	1	1	1	1	0.99	1	1	0.98	1	1	1	1	1	1	1	1	1	1	1
NM_001352921.3|SGSH|chr17|-	29.3	78184835	chr17:78183130-78184986	NA	1	1	NA	1	NA	NA	NA	1	1	1	1	1	1	NA	1	1	1	NA	1	NA	1	NA	1
NM_001166349.2|SLC26A11|chr17|+	0.6	78226575	chr17:78226424-78227299	1	1	1	1	1	NA	0.98	1	1	1	1	0.99	1	1	0.99	0.99	1	0.99	0.97	0.96	0.99	1	1	1
NM_001164638.3|ENDOV|chr17|+	91.7	78403724	chr17:78403573-78404143	0.14	0.1	0.07	NA	0	0.23	0.07	NA	0.05	0	0.04	0.26	0.05	0.18	0.07	0.19	0.05	0.12	0.21	0.25	0.27	0.13	0.11	0.39
NM_001164637.3|ENDOV|chr17|+	0.7	78410378	chr17:78409933-78411886	0.98	1	1	0.87	1	1	1	NA	1	0.99	1	0.94	1	0.98	1	0.89	1	0.96	1	0.98	1	0.97	0.95	0.98
NM_002522.4|NPTX1|chr17|-	56	78444683	chr17:78440634-78444834	1	NA	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	1	NA	1	NA
NM_024591.5|CHMP6|chr17|+	0.3	78973186	chr17:78972898-78973933	0.98	1	1	1	0.98	1	1	1	1	0.98	0.97	1	1	1	0.98	1	1	1	1	1	0.98	1	1	1
NR_026857.1|BAIAP2-DT|chr17|-	86.9	79007047	chr17:79002933-79007198	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001363764.2|TEPSIN|chr17|-	1.1	79203125	chr17:79202077-79203276	1	1	1	1	1	1	1	0.97	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NR_135654.1|LOC105371925|chr17|+	0.3	79205821	chr17:79205658-79206009	0.02	0	0.03	0	0	0	0.03	0	0	0.01	0.02	0	0	0.01	0	0	0.01	0.01	0	0	0	0	0.01	0
NM_001037984.3|SLC38A10|chr17|-	5.9	79219188	chr17:79218611-79220473	0.96	0.98	0.98	0.96	0.98	1	0.92	0.99	0.99	0.97	0.94	0.94	0.98	0.94	0.97	1	0.98	0.94	1	1	1	1	1	1
NM_138570.4|SLC38A10|chr17|-	224.8	79225261	chr17:79224670-79225412	0.25	0.23	0.25	0.31	0.27	0.2	0.26	0.3	0.25	0.14	0.22	0.11	0.22	0.19	0.16	0.22	0.34	0.2	0.13	0.16	0.3	0.11	0.35	0.16
NM_001199954.3|ACTG1|chr17|-	176661.5	79477504	chr17:79476997-79477859	0.87	0.9	0.86	0.9	0.86	0.89	0.86	0.9	0.87	0.82	0.86	0.82	0.87	0.82	0.86	0.82	0.84	0.88	0.84	0.88	0.84	0.88	0.84	0.87
NR_037688.3|ACTG1|chr17|-	5817.4	79477084	chr17:79476997-79477355	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_025161.6|FAAP100|chr17|-	1.1	79507617	chr17:79506917-79507976	0.99	1	1	0.98	1	1	0.99	0.98	1	1	1	1	0.99	1	1	1	1	0.99	0.98	1	0.98	1	0.99	1
NR_130139.1|NPLOC4|chr17|-	6.7	79526291	chr17:79523911-79526442	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1
NM_001304999.2|OXLD1|chr17|-	4.6	79633175	chr17:79632066-79633635	1	NA	1	NA	NA	NA	1	NA	NA	0.9	0.96	0.99	0.96	0.88	NA	0.96	0.99	0.99	1	0.91	0.92	0.79	1	1
NM_001304994.2|OXLD1|chr17|-	0.1	79632369	chr17:79632066-79632614	1	1	1	NA	1	NA	1	NA	0.97	1	0.98	1	1	1	1	1	1	1	1	1	0.98	1	0.99	1
NM_199287.3|CCDC137|chr17|+	0.3	79640414	chr17:79639525-79640929	0.8	0.77	0.81	0.66	0.85	NA	0.92	0.82	0.9	0.61	0.67	0.52	0.63	0.45	0.73	0.4	0.56	0.85	0.45	0.75	0.65	0.57	0.67	0.76
NR_138060.1|ARL16|chr17|-	0.9	79648496	chr17:79648195-79648909	0.93	NA	0.83	0.91	0.97	NA	0.86	NA	0.96	0.83	0.94	0.93	NA	0.99	0.87	0.92	0.77	0.87	0.8	1	0.92	0.85	0.78	0.87
NM_001329609.2|ARL16|chr17|-	0.7	79648496	chr17:79648217-79648909	0.95	NA	0.84	0.92	0.97	NA	0.86	NA	0.97	0.84	0.95	0.93	NA	0.99	0.89	0.92	0.79	0.89	0.8	1	0.93	0.86	0.81	0.89
NM_004712.5|HGS|chr17|+	8.9	79668689	chr17:79668538-79669151	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_002949.4|MRPL12|chr17|+	0.1	79674445	chr17:79674154-79674547	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	1	NA	1	1	1	1	1	NA	1	1	NA
NM_001270953.2|SLC25A10|chr17|+	0.1	79687475	chr17:79687006-79688042	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	1	NA	NA	0.94	NA	NA	NA	1	1	1	0.94
NM_001288798.2|MCRIP1|chr17|-	0.4	79780632	chr17:79780237-79780783	1	NA	1	NA	1	NA	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_207368.5|MCRIP1|chr17|-	15.1	79781036	chr17:79780237-79781187	1	NA	1	NA	0.99	NA	1	NA	0.99	1	1	1	1	0.99	1	1	0.99	0.99	1	1	0.99	1	0.99	1
NM_000918.4|P4HB|chr17|-	4.4	79801452	chr17:79801042-79801968	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99	1	1	1
NM_001185077.3|ARHGDIA|chr17|-	48.7	79826800	chr17:79825597-79826951	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001301241.2|ARHGDIA|chr17|-	2.8	79826309	chr17:79825597-79826460	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99	1	1	1	1	1	1	1
NM_001301242.2|ARHGDIA|chr17|-	14.1	79826668	chr17:79825597-79826819	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001289414.1|ANAPC11|chr17|+	1.4	79858130	chr17:79857796-79858409	0.7	0.7	0.48	NA	0.51	NA	0.45	NA	0.82	0.49	0.59	0.3	0.52	0.28	0.6	0.36	0.47	0.65	0.23	0.35	0.2	0.34	0.42	0.24
NM_001002248.3|ANAPC11|chr17|+	0.1	79858024	chr17:79857796-79858131	1	1	0.99	NA	0.99	NA	1	NA	1	1	1	1	1	1	1	0.98	1	1	1	1	1	1	1	1
NM_001282203.2|PCYT2|chr17|-	12.6	79862130	chr17:79860781-79862820	0.55	0.47	0.53	0.39	0.53	0.35	0.52	0.36	0.55	0.23	0.51	0.19	0.53	0.26	0.51	0.23	0.44	0.29	0.25	0.12	0.21	0.14	0.27	0.18
NM_016538.3|SIRT7|chr17|-	0.3	79870313	chr17:79869815-79870490	1	0.82	0.97	0.98	1	1	1	0.93	0.97	1	1	0.91	0.95	0.99	1	0.97	0.94	0.99	0.99	0.97	0.98	1	0.99	1
NR_015454.1|MAFG-DT|chr17|+	3.2	79887757	chr17:79887352-79888629	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	1	1	1	NA	0.9	0.95	0.92	0.9	0.94	NA	0.92	NA
NM_006907.4|PYCR1|chr17|-	1.4	79891101	chr17:79890267-79891252	1	0.96	0.98	0.98	1	1	0.97	1	0.99	0.99	1	1	1	0.99	0.98	1	0.97	0.99	1	1	0.98	1	1	1
NM_153824.3|PYCR1|chr17|-	2.5	79890688	chr17:79890267-79890839	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001330536.2|CENPX|chr17|-	0.3	79976944	chr17:79976579-79977095	1	1	1	1	1	1	1	1	1	1	1	0.99	1	0.99	1	1	1	0.99	1	1	1	1	1	1
NM_144999.4|LRRC45|chr17|+	0.4	79988644	chr17:79988485-79989027	0.99	1	1	1	1	1	1	1	1	1	1	0.99	1	1	1	1	1	1	0.98	1	0.99	1	0.99	1
NM_005052.3|RAC3|chr17|+	2.6	79991726	chr17:79991575-79992080	1	NA	1	NA	1	NA	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_016286.4|DCXR|chr17|-	0.2	79993784	chr17:79993734-79993939	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.98	0.99	NA	1	NA	1	1	0.97	1	1	1	1	0.98	1
NM_002917.2|RFNG|chr17|-	0.3	80006532	chr17:80005778-80006683	NA	NA	1	NA	NA	NA	1	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1
NM_001330539.2|GPS1|chr17|+	0.6	80015106	chr17:80014929-80015382	0.99	0.99	1	1	1	1	0.99	1	1	1	1	1	1	0.99	1	1	1	1	1	1	1	1	1	0.99
NM_004104.5|FASN|chr17|-	20.7	80036521	chr17:80036214-80037156	0.97	1	0.98	1	0.96	0.95	0.97	0.97	0.97	0.95	0.96	0.99	0.96	0.96	0.98	0.98	0.96	0.97	0.99	1	0.99	0.97	0.97	0.98
NM_001316321.3|CCDC57|chr17|-	3	80115623	chr17:80111478-80115824	0.29	0.09	NA	0.19	0.32	NA	0.14	NA	0.38	0.27	0.12	0.08	NA	0.04	0.24	0.07	0.08	0.13	0.1	0.13	0.12	0.08	0.03	0.09
NM_001369488.1|HEXD|chr17|+	0.2	80400253	chr17:80400053-80400462	1	1	1	1	1	1	1	1	1	0.99	1	1	1	1	0.97	1	1	1	1	1	1	1	1	1
NM_001193655.2|CYBC1|chr17|-	44.9	80401849	chr17:80400521-80402000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99	1	1	1	1	1
NR_036519.2|CYBC1|chr17|-	0.8	80407979	chr17:80407591-80408130	0.99	1	1	NA	0.93	NA	1	NA	1	0.98	1	1	1	0.99	1	1	0.98	1	0.97	0.99	1	1	1	1
NM_001038618.3|NARF|chr17|+	17.5	80446128	chr17:80445792-80448413	0.57	0.44	0.38	0.37	0.48	0.41	0.33	0.32	0.49	0.47	0.32	0.35	0.3	0.32	0.35	0.4	0.33	0.47	0.25	0.28	0.2	0.33	0.27	0.35
NM_031968.2|NARF|chr17|+	1.5	80445953	chr17:80445792-80446143	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_019613.4|WDR45B|chr17|-	6.8	80573750	chr17:80572438-80573901	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_006822.3|RAB40B|chr17|-	12	80614948	chr17:80612849-80616010	0.23	0.2	0.19	0.17	0.19	0.22	0.22	0.14	0.24	0.25	0.12	0.09	0.14	0.07	0.14	0.12	0.24	0.2	0.07	0.12	0.17	0.08	0.15	0.12
NM_024619.4|FN3KRP|chr17|+	1.8	80685043	chr17:80684709-80685889	1	1	0.98	0.95	1	0.98	1	0.97	1	1	1	1	1	1	1	0.99	1	0.97	1	1	1	1	1	0.97
NM_022158.4|FN3K|chr17|+	1.5	80708686	chr17:80708293-80709072	0.93	NA	0.97	NA	0.89	1	0.85	0.97	0.88	0.87	0.93	0.99	0.92	0.94	0.94	0.95	0.87	1	0.91	0.92	0.89	0.9	0.91	0.95
NR_135466.2|B3GNTL1|chr17|-	0.1	80900132	chr17:80900032-80900325	1	NA	1	NA	1	NA	1	NA	1	1	0.97	1	0.95	NA	1	1	0.99	1	NA	NA	1	NA	1	1
NM_152721.6|DOK6|chr18|+	55.4	67509377	chr18:67508480-67516323	0.46	0.62	0.56	0.33	0.43	0.3	0.34	0.28	0.33	0.26	0.25	0.22	0.22	0.18	0.45	0.17	0.21	0.16	0.19	0.14	0.19	0.24	0.21	0.15
NM_002845.4|PTPRM|chr18|+	0.3	8406656	chr18:8406107-8406854	0.97	0.97	0.94	1	0.95	0.94	0.95	0.91	0.91	0.99	0.96	0.96	1	0.85	0.89	0.93	0.87	0.97	1	0.98	0.95	0.9	1	0.93
NM_005215.4|DCC|chr18|+	9.6	51059186	chr18:51056934-51062269	0.16	0.04	0.11	0.06	0.1	NA	0.1	NA	0.03	0.14	0.24	0.19	0.42	NA	0.1	0.12	0.18	0.15	0.16	NA	0.21	0.07	0.13	0.09
NM_004746.4|DLGAP1|chr18|-	149.8	3499241	chr18:3496030-3499392	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001242761.2|DLGAP1|chr18|-	0.9	3502490	chr18:3502149-3502643	0.51	0.3	0.52	0.24	0.58	0.45	0.46	0.39	0.41	0.35	0.61	0.47	0.68	0.59	0.53	0.47	0.58	0.36	0.57	0.62	0.62	0.61	0.65	0.5
NR_015389.1|LINC00667|chr18|+	87.5	5245182	chr18:5243593-5246507	0.45	0.46	0.31	0.43	0.32	0.46	0.48	0.55	0.66	0.49	0.66	0.45	0.58	0.45	0.67	0.52	0.38	0.38	0.33	0.39	0.38	0.43	0.57	0.41
NM_001365770.2|L3MBTL4|chr18|-	0.1	5955646	chr18:5954716-5956386	1	1	1	NA	1	NA	1	1	1	0.97	0.98	0.97	0.98	1	1	1	0.95	0.95	0.89	1	0.94	1	1	0.96
NM_153000.5|APCDD1|chr18|+	0.2	10488693	chr18:10487587-10489946	0.22	0.08	0.06	NA	0.16	NA	NA	NA	NA	0.08	0	0.11	NA	0.15	0.23	0.19	NA	0.07	NA	NA	NA	NA	NA	NA
NM_001128627.1|SPIRE1|chr18|-	457.7	12449744	chr18:12447797-12449895	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001378101.1|LDLRAD4|chr18|+	350	13645303	chr18:13645126-13652750	1	NA	1	NA	1	NA	1	NA	1	0.91	1	0.98	1	0.58	1	0.61	1	NA	0.77	NA	0.68	0.77	0.73	1
NM_001003675.3|LDLRAD4|chr18|+	350.5	13645297	chr18:13645126-13652753	1	NA	1	NA	1	NA	1	NA	1	0.91	1	0.98	1	0.58	1	0.61	1	NA	0.77	NA	0.69	0.77	0.73	1
NM_001318834.2|TMEM241|chr18|-	1.3	20876740	chr18:20875977-20878031	0.85	0.59	0.7	0.7	0.82	0.78	0.79	0.72	0.86	0.86	0.91	0.9	0.89	NA	0.88	0.8	0.92	0.84	NA	0.83	NA	0.92	0.89	0.76
NM_018439.4|IMPACT|chr18|+	1.3	22031555	chr18:22030743-22033495	1	1	1	0.95	1	0.96	0.95	1	0.87	0.87	0.86	0.87	0.94	0.81	0.91	0.87	0.82	0.82	0.83	0.97	0.98	0.83	0.84	0.74
NM_001142730.3|KCTD1|chr18|-	1.8	24035467	chr18:24034874-24035865	0.31	NA	0.29	0.43	NA	NA	NA	NA	0.37	NA	NA	0.15	NA	NA	0.13	0.29	0.3	0.21	0.13	NA	0.28	NA	0.51	0.36
NM_001198549.2|NOL4|chr18|-	10.5	31432413	chr18:31431064-31432999	0.07	0.04	0.08	0.12	0.07	0.05	0.09	0.03	0.05	0.05	0.06	0.05	0.06	0.04	0.09	0.04	0.05	0.04	0.05	0.06	0.05	0.05	0.05	0.05
NM_001353919.2|KIAA1328|chr18|+	1.4	34802264	chr18:34801980-34805297	1	1	1	1	1	1	1	0.85	1	0.93	1	0.91	0.95	1	1	0.87	1	1	NA	0.86	NA	0.84	NA	NA
NM_152470.3|RNF165|chr18|+	25.4	44040324	chr18:44036482-44043103	0.16	0.14	0.22	NA	0.34	NA	0.31	NA	0.11	0.13	0.23	0.3	0.28	0.29	0.34	0.15	0.21	0.29	NA	NA	0.22	NA	0.14	0.22
NM_001256758.1|RNF165|chr18|+	31.2	44036633	chr18:44036482-44040783	1	1	1	NA	1	NA	1	NA	1	1	1	1	1	1	1	1	1	1	NA	NA	1	NA	1	1
NM_014772.3|CTIF|chr18|+	36.5	46385866	chr18:46385715-46389588	1	1	1	1	1	1	1	1	1	1	1	0.95	0.96	1	1	0.87	0.97	0.95	1	0.99	1	1	1	0.96
NM_001292039.2|MAPK4|chr18|+	4.8	48255679	chr18:48255528-48258196	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_052834.3|WDR7|chr18|+	7.9	54694386	chr18:54694235-54697023	1	NA	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	1	1	1	1
NM_001353533.2|ZNF532|chr18|+	231.7	56653109	chr18:56651204-56653712	0.82	0.79	0.8	0.83	0.84	0.77	0.83	0.8	0.81	0.79	0.83	0.8	0.83	0.83	0.83	0.8	0.84	0.8	0.85	0.78	0.83	0.79	0.87	0.79
NM_176787.5|PIGN|chr18|-	45.3	59711467	chr18:59708397-59713212	0.03	0	0.03	0	0.03	0	0	0	0.06	0.02	0.02	0.03	0.04	0.04	0	0	0.06	0	0.11	0	0	0	0.04	0
NM_000633.3|BCL2|chr18|-	39.1	60795800	chr18:60790579-60795992	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA	0.96	NA	0.8	NA	0.78	NA	1	NA
NM_017757.3|ZNF407|chr18|+	1.2	72775257	chr18:72775106-72777627	1	NA	1	NA	1	NA	1	1	1	NA	1	1	NA	NA	NA	1	1	1	NA	1	NA	NA	1	1
NM_001146189.1|ZNF407|chr18|+	0.5	72632648	chr18:72632470-72633014	0.07	0.24	0	NA	0.07	NA	0.23	0.07	0	0.34	0.1	NA	0.22	NA	NA	0.08	0.16	0.11	NA	0.13	NA	NA	0	0.12
NM_005131.3|THOC1|chr18|-	0.3	214767	chr18:214629-214921	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_005433.4|YES1|chr18|-	8.8	723416	chr18:721588-724632	0.94	0.96	1	1	1	1	0.93	0.94	1	0.85	1	1	0.87	0.83	0.99	1	0.9	1	NA	0.9	1	1	1	1
NM_033546.4|MYL12B|chr18|+	50.9	3278179	chr18:3277763-3278459	0.36	NA	0.4	NA	0.43	NA	0.39	NA	0.32	0.33	0.27	0.23	0.21	0.31	0.33	0.33	0.28	0.26	0.23	0.21	0.22	0.28	0.23	0.19
NM_001144944.1|MYL12B|chr18|+	0.7	3278152	chr18:3277763-3278282	0.96	NA	0.98	NA	0.98	NA	0.94	NA	0.96	0.96	0.94	0.92	0.9	0.92	0.95	0.96	0.99	0.92	0.92	0.95	0.89	0.93	0.91	0.94
NM_001384684.1|EPB41L3|chr18|-	0.6	5393047	chr18:5392385-5393477	1	1	0.99	0.98	1	0.98	0.98	0.97	1	1	0.99	1	1	1	1	1	0.99	1	0.94	0.97	0.98	1	1	1
NM_005559.4|LAMA1|chr18|-	1	6941888	chr18:6941741-6942238	NA	0.15	NA	0.15	NA	0.2	NA	0.24	NA	0.16	NA	0.2	NA	0.18	NA	0.27	NA	0.1	NA	0.1	NA	0.35	NA	0.34
NM_001378207.1|MTCL1|chr18|+	0.2	8832086	chr18:8831605-8832776	0.96	1	1	0.97	1	0.97	1	1	1	0.91	1	1	1	1	1	0.98	0.91	1	NA	1	NA	0.96	1	0.98
NM_001083625.3|ANKRD12|chr18|+	19.5	9283756	chr18:9280939-9285983	0.09	0.25	0.08	0.23	0.05	NA	0.17	0.1	0.08	0.29	0.06	0.13	0.09	0.2	0.15	0.26	0.07	0.09	0.14	0.16	0.03	0.11	0.11	0.23
NM_001042388.3|PPP4R1|chr18|-	1.4	9547799	chr18:9546792-9547950	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_006868.4|RAB31|chr18|+	7.6	9861100	chr18:9859225-9862548	0.1	0.18	0.15	0.06	0	0.03	0.06	0.07	NA	0.04	NA	0.1	NA	0.08	NA	0.06	0.1	0.07	NA	0.07	NA	0.07	NA	0.06
NM_182978.4|GNAL|chr18|+	8.8	11881962	chr18:11880988-11882621	1	NA	0.93	NA	0.91	NA	0.95	NA	0.76	0.65	0.79	0.69	0.79	0.78	0.78	0.84	0.61	0.61	0.78	NA	0.73	NA	0.6	0.73
NM_001303524.1|TUBB6|chr18|+	0.4	12325217	chr18:12325066-12326615	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	1	1	1	1	NA	1	NA	1	1	1
NM_147163.2|PSMG2|chr18|+	0.2	12725648	chr18:12725438-12725739	0.91	1	0.97	1	1	1	1	0.94	0.9	0.98	0.97	0.95	0.97	0.93	0.93	1	0.95	0.92	0.96	1	1	1	0.97	0.98
NM_001207013.2|PTPN2|chr18|-	0.1	12785686	chr18:12785477-12785843	1	NA	1	NA	1	NA	1	1	1	1	1	1	0.98	1	0.99	1	1	1	1	1	0.99	0.99	0.99	1
NM_002828.4|PTPN2|chr18|-	67.6	12793560	chr18:12792151-12794484	0.7	0.86	0.69	0.58	0.74	0.69	0.65	0.52	0.53	0.47	0.58	0.4	0.51	0.65	0.45	0.41	0.48	0.69	0.38	0.52	0.43	0.62	0.39	0.61
NM_001013437.2|SEH1L|chr18|+	0.6	12987012	chr18:12986861-12987530	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.98	1	1	1	1
NM_031216.4|SEH1L|chr18|+	26	12985390	chr18:12985239-12987535	1	1	1	1	1	1	1	1	1	1	0.99	1	1	0.97	1	1	1	1	1	1	0.99	1	0.99	0.98
NM_032142.4|CEP192|chr18|+	0	13124925	chr18:13124631-13125035	1	1	1	1	1	1	1	NA	1	1	1	1	0.96	1	1	1	NA	1	NA	1	NA	NA	1	1
NM_001378134.1|RNMT|chr18|+	20.8	13762189	chr18:13762038-13764555	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NM_001378135.1|RNMT|chr18|+	469.8	13760092	chr18:13759941-13764555	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
